Toss,Bat,Venue,IndBatAvg,IndBowlAvg,OppBatAvg,OppBowlAvg,TotalGt4WksHaul,OppTotalGt4WksHaul,AvgCatch,OppAvgCatch,IndAvg100,OppAvg100,Result
0,2,2,11.5983,1.968869572,11.90553902,2.003911359,3,24,0.511042894,0.294724455,0.034404427,0.019441344,1
0,1,2,10.4808,1.988292115,11.93424138,1.993035499,6,15,0.531008054,0.401316816,0.039767891,0.0172361,1
1,2,1,11.9446,1.931277,11.33657,1.882881,11,12,0.531763923,0.317804131,0.036887883,0.017138795,1
0,1,1,11.9787,1.930953,11.44165,1.896574,5,12,0.544626274,0.301475855,0.032325082,0.021377253,1
0,1,1,7.6836,1.884868,11.01213,1.838963,11,25,0.456513981,0.413689075,0.032091071,0.013166858,1
0,2,1,8.59786,2.148939,11.76003,1.900437,14,34,0.373367106,0.401626269,0.031833396,0.012696144,1
1,2,1,11.3028,2.026685,10.2077,1.829044,14,34,0.372301987,0.402024646,0.032275633,0.012826319,1
1,2,1,11.823,1.929973,13.01704,1.895191,8,21,0.395504583,0.330114598,0.047413468,0.014017756,0
1,2,1,11.5985,1.951612,12.19234,1.834904,8,21,0.403934617,0.33071023,0.044586174,0.014383295,0
1,2,1,13.0453,1.948417,12.08845,1.879522,9,24,0.371259698,0.363052647,0.045374438,0.022411131,0
1,2,2,13.2054,1.926845244,10.23547859,1.968487662,9,14,0.384994923,0.36961244,0.042010729,0.038014859,1
0,1,2,13.1309,1.899598818,10.17021049,1.942356399,11,25,0.373960249,0.419237365,0.041930602,0.032236679,0
0,2,2,13.1454,1.894086263,11.22780977,1.958077793,12,25,0.384389627,0.438647201,0.0385834,0.031426277,1
0,1,2,12.4413,1.93864892,13.36287917,1.975123414,12,24,0.389074043,0.43866132,0.038917427,0.032994499,1
1,2,2,12.1985,1.912230737,13.38700598,1.825629219,12,24,0.38884672,0.453332983,0.037954529,0.034775769,1
0,1,2,12.2988,1.920977475,13.27061074,1.747057935,8,11,0.32927282,0.309254965,0.031856093,0.020714455,0
0,2,2,12.3856,1.913459712,13.05934449,1.753924898,8,10,0.332348193,0.327801298,0.032115401,0.020199898,1
0,2,2,12.2323,1.902487885,12.79091463,1.727494525,8,10,0.320127564,0.406578086,0.030134788,0.022722201,0
1,2,1,10.93064538,1.857423443,8.790990635,2.135940704,8,8,0.323052001,0.40228124,0.037204605,0.006755194,1
1,2,1,11.08009632,1.851794425,9.528364981,1.98975825,8,10,0.333409803,0.421069499,0.034465007,0.004680307,1
1,2,1,11.56222787,1.939537444,10.38499918,1.996568707,8,15,0.324123586,0.361721877,0.030915076,0.005316321,1
0,1,1,11.72974512,1.96705717,9.845601667,2.030776513,9,14,0.323285554,0.337803877,0.019482285,0.004894912,1
1,2,1,10.37723538,2.01382015,10.56403791,2.074234942,4,14,0.328119181,0.354703639,0.019646929,0.010876623,1
0,1,1,11.36254934,1.980401236,10.83434645,1.9429251,9,20,0.403681489,0.458501157,0.0161704,0.009411016,1
0,1,1,12.79540687,1.936133379,10.86568446,1.941261901,9,16,0.492254778,0.450208955,0.028265833,0.014953704,0
0,1,1,12.81860431,1.942729864,11.65107215,1.903511343,10,22,0.389335248,0.412335444,0.025726122,0.015280665,1
0,1,2,11.8781,1.894830213,12.03740846,1.864357604,10,20,0.400827107,0.432147983,0.026020331,0.015626794,0
1,2,2,12.7242,1.88017683,11.61156061,1.897146412,5,12,0.487068293,0.275132381,0.024659033,0.01599409,1
1,2,2,12.6001,1.848082592,11.82435753,1.89113917,3,20,0.355713686,0.308794121,0.020533406,0.019697785,1
1,1,2,12.6401,1.853242,11.93837,1.882772,7,22,0.337844206,0.339318216,0.019298672,0.011634357,1
0,2,2,11.8039,1.956769,11.96113,1.88049,6,19,0.348002603,0.496183454,0.019509501,0.012060606,0
1,1,2,12.0627,1.846193,10.35762,1.94271,6,19,0.304495546,0.513712147,0.020002724,0.015447435,1
1,2,2,12.7733,1.945598,10.40132,2.049461375,10,22,0.39924566,0.474963243,0.020369598,0.004369159,0
0,1,2,13.0247,1.859145,11.25608,2.024106,10,12,0.394392694,0.513309652,0.030360821,0.0230369,0
1,1,1,12.72904743,1.889755669,11.62638211,1.979462832,7,29,0.367406428,0.487720265,0.030605816,0.025698003,1
0,2,1,12.89317946,1.89429224,11.38717343,1.948107647,8,30,0.387083901,0.45242592,0.03085526,0.026603667,1
0,2,1,11.80061503,1.923009095,11.5635638,1.920682666,4,3,0.316325485,0.328290497,0.036675148,0.025816617,1
1,1,1,12.95080712,1.898694786,11.77720126,1.893260881,7,5,0.23757137,0.268735433,0.043121511,0.022010764,0
1,1,1,13.11134156,1.899684957,11.42070156,1.91060263,4,5,0.284167302,0.276318978,0.032735402,0.018267752,1
0,1,1,12.94717759,1.952124627,9.974219626,1.960991016,7,5,0.275844266,0.296496277,0.036535363,0.015875801,0
0,2,1,14.00308491,1.922901446,11.7115282,1.891409622,5,3,0.262575642,0.399322864,0.030840915,0.018065589,0
0,2,1,13.1669101,1.895716034,11.89399576,1.931352323,6,20,0.370165305,0.458800015,0.034333326,0.018389971,0
0,2,1,13.07699528,1.874495506,12.23280088,1.811714522,6,15,0.415582593,0.442746861,0.001662971,0.021335144,1
1,2,1,12.16969031,1.856876757,12.60395729,1.774864899,6,29,0.374917159,0.419865421,0.00204499,0.022152396,0
1,1,2,12.4144,1.805703321,10.45401599,1.925835071,16,20,0.341074816,0.271845649,0.030106424,0.012277952,1
0,2,2,11.4621,2.02418677,11.7436281,2.065309825,16,20,0.348654343,0.279888967,0.033714054,0.029372917,1
1,2,1,11.8743,1.957205,11.93289,1.743003,15,20,0.331607345,0.334803968,0.022550879,0.026380163,0
1,1,1,12.2501,1.961919,11.15178,1.804082,16,20,0.361291478,0.358178238,0.036718291,0.034432301,0
1,2,1,11.8209,1.931303,12.59313,1.821249,16,22,0.366472936,0.380613428,0.037350474,0.035875975,0
0,1,2,11.9518,1.941336575,10.5347445,1.947211394,17,22,0.332564482,0.312057307,0.037245602,0.048187833,1
1,1,2,11.7814,1.933495228,10.48393691,1.943752742,17,33,0.347684888,0.512067294,0.042350923,0.042125432,1
1,2,2,11.6322,1.925697643,10.51539694,1.943136202,22,28,0.349211992,0.567016813,0.018864637,0.004002287,0
1,2,1,12.3564,1.950197,11.08161,1.93638,12,12,0.355254578,0.52360054,0.019225614,0.004980067,0
1,2,1,13.1139,1.916882,11.45056,1.92407,12,12,0.354756362,0.447045493,0.019472365,0.005021345,1
1,1,1,13.48850079,1.987315791,9.207731917,1.959481258,7,7,0.34457512,0.347136129,0.043120929,0.025694625,1
1,1,1,12.6629061,2.017546165,9.887223068,1.966714121,4,13,0.325035159,0.350839904,0.04345589,0.013233667,1
1,2,1,12.63725247,2.051680489,10.63464958,1.888672492,4,13,0.322574604,0.368174578,0.04383004,0.023893932,0
1,2,1,12.98197517,1.924928572,10.52833686,1.919941945,4,12,0.321233966,0.39377633,0.04352189,0.004886528,1
1,2,1,12.94511088,1.902984957,9.862753439,1.883747902,4,7,0.315636346,0.390536703,0.046336747,0.03716582,1
0,1,1,12.08336655,1.837833512,10.70781066,1.944869523,6,8,0.334297775,0.341483636,0.046646586,0.018614719,1
0,2,1,12.62718883,1.818117103,11.92490787,2.010216454,5,4,0.328967933,0.290415844,0.04774289,0.027943922,1
0,2,1,12.67559212,1.960608996,12.59811891,2.001226539,5,8,0.35000537,0.340150706,0.048115413,0.012530507,1
0,2,1,12.37509007,1.959901711,12.31695855,1.992614411,5,8,0.361046887,0.356360304,0.029144012,0.030261786,1
1,1,1,12.38143728,1.996401967,12.55437428,1.974409723,4,8,0.36784316,0.362591171,0.026653272,0.02851796,1
0,1,2,11.31398207,1.94654019,11.8573817,1.887419208,6,8,0.374863623,0.381617817,0.027115636,0.047193363,0
0,1,2,11.96096161,1.849406284,10.38080914,1.84904225,9,27,0.375946616,0.367636098,0.03401126,0.049728727,0
0,1,2,11.27785509,1.857310788,9.198389587,1.82512163,6,28,0.420526775,0.387523968,0.034422082,0.052792329,0
0,1,2,8.87413678,1.957877956,11.8928382,1.870112795,4,7,0.404313323,0.358235479,0.035198181,0.007704967,0
0,2,2,9.120897471,1.877921654,10.62584719,1.796943685,7,6,0.447857887,0.275612412,0.019945272,0.007765556,0
1,2,2,10.28157354,1.873838236,9.34107406,1.911083682,12,5,0.365752313,0.291623028,0.034652312,0.007827119,1
1,2,2,10.37489777,1.878654414,9.920841476,1.917316942,12,11,0.356654321,0.360874523,0.035798041,0.00788968,1
0,2,2,10.50263024,1.903562433,10.04400045,1.929782607,11,11,0.350816828,0.288074554,0.030819419,0.007953264,1
0,2,1,12.32360423,1.833991484,10.53043397,1.966621214,20,39,0.367669214,0.422023161,0.030234531,0.027210257,1
1,1,1,12.40249529,1.817521618,10.92506937,1.929561893,24,28,0.370562374,0.377191433,0.035848248,0.02940962,1
0,2,1,13.19521232,1.804062417,12.55846825,1.86377144,17,38,0.365046414,0.474925748,0.037673446,0.018048,1
1,1,1,12.94040481,1.800098669,10.29504842,1.755308588,16,9,0.361167464,0.285915293,0.040094689,0.016802872,1
1,1,1,12.37174758,1.836988602,12.79858777,1.907208245,24,13,0.354306687,0.440396799,0.047605856,0.022860228,0
0,2,1,12.4053448,1.859846536,11.39140516,1.664996156,23,3,0.375392305,0.420655787,0.033836064,0.027552296,1
1,2,1,12.48326437,1.842621799,11.49447634,1.881703227,19,19,0.383779276,0.444147833,0.033445574,0.027778093,1
0,1,2,12.40840461,1.844105138,9.766751536,2.004852963,20,16,0.353870839,0.343811783,0.033744533,0.025440452,1
1,2,2,11.26602061,1.82308643,11.57498346,1.922502857,17,12,0.446075441,0.476983,0.036263819,0.016304828,0
0,2,2,11.12308466,1.815566957,11.74304632,1.922055344,22,11,0.42017896,0.421083524,0.037038631,0.026877699,0
0,2,2,11.02230321,1.7791506,12.92889468,1.923100437,22,14,0.373877399,0.388647109,0.034250297,0.011849597,1
1,1,2,11.47879848,1.790178336,13.30094476,1.924477698,28,14,0.368010148,0.401206246,0.030759683,0.012966334,1
0,2,2,11.52897046,1.794888324,13.59510372,1.930906014,27,13,0.370490321,0.39527057,0.035314884,0.016673429,0
0,2,1,11.14584731,1.897501041,11.13516813,1.853355693,13,27,0.345517415,0.410852484,0.02923655,0.015320272,1
1,2,1,11.31625227,1.92741028,10.26258332,1.898833294,20,27,0.328581584,0.421886961,0.029609737,0.012294696,1
1,2,1,10.31666317,1.960974747,10.16656964,1.899439235,19,24,0.434795792,0.487922689,0.023257065,0.020860426,1
1,2,1,10.02458614,1.931352975,9.922189363,1.889765255,13,26,0.480228636,0.44134393,0.025818503,0.024433986,1
0,1,1,9.922405647,1.920859995,10.2883634,1.783398951,12,17,0.444190979,0.448964449,0.025301403,0.030207795,1
1,2,1,12.98917523,1.913070076,13.01540198,1.908223567,12,6,0.329024305,0.372503845,0.022504822,0.017726329,1
0,2,2,11.15053366,1.814423179,11.59011189,1.914746275,17,12,0.389173183,0.37625221,0.026773525,0.020349543,0
1,1,2,11.27079405,1.856023294,10.12017213,1.741065801,18,17,0.381392989,0.447040555,0.023513098,0.013005713,1
1,1,2,11.20888661,1.844840462,11.79817511,1.922934675,18,12,0.397697387,0.371672496,0.020786413,0.019952188,0
0,2,2,11.49212718,1.841875362,10.75771888,2.007213817,16,15,5.454545455,0.357665848,0.022518255,0.023761606,1
0,2,2,11.85949876,1.834484604,11.71324368,1.563856282,15,19,0.37460189,0.385273047,0.021140296,0.014412189,0
1,1,2,12.02469995,1.834218214,11.00747784,1.962426392,23,41,0.392888792,0.351690413,0.024686774,0.01866631,1
0,1,2,12.00629909,1.906848404,11.57515749,1.967614602,13,10,0.388980202,0.36638954,0.025152886,0.018795572,0
0,2,2,12.41658937,1.843725584,10.80480321,1.803193192,23,29,0.374561902,0.366337284,0.030671426,0.028025087,1
